Loan Maturity,Currency,Type of Loans,Sector,Year_Month,value,Year,Month
Over 1 year and up to and including 2 years,Foreign currency in total,- Other loans,Non-financial corporations,2019M09,599.1,2019,9
Over 1 year and up to and including 2 years,Foreign currency in total,- Other loans,Financial corporations,2019M09,739.3,2019,9
Over 1 year and up to and including 2 years,Foreign currency in total,- Other loans,General government,2019M09,0.0,2019,9
Over 1 year and up to and including 2 years,Foreign currency in total,- Other loans,Households,2019M09,519.1,2019,9
Over 1 year and up to and including 2 years,Foreign currency in total,- Other loans,Non-profit institutions serving households,2019M09,0.0,2019,9
Over 2 years and up to and including 5 years,DKK,- Revolving loans and overdrafts,Non-financial corporations,2019M09,22744.1,2019,9
Over 2 years and up to and including 5 years,DKK,- Revolving loans and overdrafts,Financial corporations,2019M09,2644.7,2019,9
Over 2 years and up to and including 5 years,DKK,- Revolving loans and overdrafts,General government,2019M09,1287.6,2019,9
Over 2 years and up to and including 5 years,DKK,- Revolving loans and overdrafts,Households,2019M09,9869.2,2019,9
Over 2 years and up to and including 5 years,DKK,- Revolving loans and overdrafts,Non-profit institutions serving households,2019M09,96.5,2019,9
Over 2 years and up to and including 5 years,DKK,- Credit card credit,Non-financial corporations,2019M09,0.0,2019,9
Over 2 years and up to and including 5 years,DKK,- Credit card credit,Financial corporations,2019M09,0.0,2019,9
Over 2 years and up to and including 5 years,DKK,- Credit card credit,General government,2019M09,0.0,2019,9
Over 2 years and up to and including 5 years,DKK,- Credit card credit,Households,2019M09,3.0,2019,9
Over 2 years and up to and including 5 years,DKK,- Credit card credit,Non-profit institutions serving households,2019M09,0.0,2019,9
Over 2 years and up to and including 5 years,DKK,- Repo loans,Non-financial corporations,2019M09,0.0,2019,9
Over 2 years and up to and including 5 years,DKK,- Repo loans,Financial corporations,2019M09,0.0,2019,9
Over 2 years and up to and including 5 years,DKK,- Repo loans,General government,2019M09,0.0,2019,9
Over 2 years and up to and including 5 years,DKK,- Repo loans,Households,2019M09,0.0,2019,9
Over 2 years and up to and including 5 years,DKK,- Repo loans,Non-profit institutions serving households,2019M09,0.0,2019,9
Over 2 years and up to and including 5 years,DKK,- Other loans,Non-financial corporations,2019M09,22482.5,2019,9
Over 2 years and up to and including 5 years,DKK,- Other loans,Financial corporations,2019M09,34923.2,2019,9
Over 2 years and up to and including 5 years,DKK,- Other loans,General government,2019M09,89.4,2019,9
Over 2 years and up to and including 5 years,DKK,- Other loans,Households,2019M09,21703.9,2019,9
Over 2 years and up to and including 5 years,DKK,- Other loans,Non-profit institutions serving households,2019M09,210.1,2019,9
Over 2 years and up to and including 5 years,Foreign currency in total,- Revolving loans and overdrafts,Non-financial corporations,2019M09,688.4,2019,9
Over 2 years and up to and including 5 years,Foreign currency in total,- Revolving loans and overdrafts,Financial corporations,2019M09,115.9,2019,9
Over 2 years and up to and including 5 years,Foreign currency in total,- Revolving loans and overdrafts,General government,2019M09,0.0,2019,9
Over 2 years and up to and including 5 years,Foreign currency in total,- Revolving loans and overdrafts,Households,2019M09,159.0,2019,9
Over 2 years and up to and including 5 years,Foreign currency in total,- Revolving loans and overdrafts,Non-profit institutions serving households,2019M09,0.0,2019,9
Over 2 years and up to and including 5 years,Foreign currency in total,- Credit card credit,Non-financial corporations,2019M09,0.0,2019,9
Over 2 years and up to and including 5 years,Foreign currency in total,- Credit card credit,Financial corporations,2019M09,0.0,2019,9
Over 2 years and up to and including 5 years,Foreign currency in total,- Credit card credit,General government,2019M09,0.0,2019,9
Over 2 years and up to and including 5 years,Foreign currency in total,- Credit card credit,Households,2019M09,0.0,2019,9
Over 2 years and up to and including 5 years,Foreign currency in total,- Credit card credit,Non-profit institutions serving households,2019M09,0.0,2019,9
Over 2 years and up to and including 5 years,Foreign currency in total,- Repo loans,Non-financial corporations,2019M09,0.0,2019,9
Over 2 years and up to and including 5 years,Foreign currency in total,- Repo loans,Financial corporations,2019M09,0.0,2019,9
Over 2 years and up to and including 5 years,Foreign currency in total,- Repo loans,General government,2019M09,0.0,2019,9
Over 2 years and up to and including 5 years,Foreign currency in total,- Repo loans,Households,2019M09,0.0,2019,9
Over 2 years and up to and including 5 years,Foreign currency in total,- Repo loans,Non-profit institutions serving households,2019M09,0.0,2019,9
Over 2 years and up to and including 5 years,Foreign currency in total,- Other loans,Non-financial corporations,2019M09,3226.7,2019,9
Over 2 years and up to and including 5 years,Foreign currency in total,- Other loans,Financial corporations,2019M09,1906.6,2019,9
Over 2 years and up to and including 5 years,Foreign currency in total,- Other loans,General government,2019M09,0.0,2019,9
Over 2 years and up to and including 5 years,Foreign currency in total,- Other loans,Households,2019M09,1081.9,2019,9
Over 2 years and up to and including 5 years,Foreign currency in total,- Other loans,Non-profit institutions serving households,2019M09,0.0,2019,9
Over 5 years,DKK,- Revolving loans and overdrafts,Non-financial corporations,2019M09,16353.5,2019,9
Over 5 years,DKK,- Revolving loans and overdrafts,Financial corporations,2019M09,8417.8,2019,9
Over 5 years,DKK,- Revolving loans and overdrafts,General government,2019M09,0.0,2019,9
Over 5 years,DKK,- Revolving loans and overdrafts,Households,2019M09,56623.5,2019,9
Over 5 years,DKK,- Revolving loans and overdrafts,Non-profit institutions serving households,2019M09,701.7,2019,9
Over 5 years,DKK,- Credit card credit,Non-financial corporations,2019M09,181.2,2019,9
Over 5 years,DKK,- Credit card credit,Financial corporations,2019M09,10.1,2019,9
Over 5 years,DKK,- Credit card credit,General government,2019M09,1.0,2019,9
Over 5 years,DKK,- Credit card credit,Households,2019M09,1706.6,2019,9
Over 5 years,DKK,- Credit card credit,Non-profit institutions serving households,2019M09,8.7,2019,9
Over 5 years,DKK,- Repo loans,Non-financial corporations,2019M09,0.0,2019,9
Over 5 years,DKK,- Repo loans,Financial corporations,2019M09,0.0,2019,9
Over 5 years,DKK,- Repo loans,General government,2019M09,0.0,2019,9
Over 5 years,DKK,- Repo loans,Households,2019M09,0.0,2019,9
Over 5 years,DKK,- Repo loans,Non-profit institutions serving households,2019M09,0.0,2019,9
Over 5 years,DKK,- Other loans,Non-financial corporations,2019M09,58492.1,2019,9
Over 5 years,DKK,- Other loans,Financial corporations,2019M09,14972.2,2019,9
Over 5 years,DKK,- Other loans,General government,2019M09,276.8,2019,9
Over 5 years,DKK,- Other loans,Households,2019M09,313744.7,2019,9
Over 5 years,DKK,- Other loans,Non-profit institutions serving households,2019M09,1153.1,2019,9
Over 5 years,Foreign currency in total,- Revolving loans and overdrafts,Non-financial corporations,2019M09,1332.1,2019,9
Over 5 years,Foreign currency in total,- Revolving loans and overdrafts,Financial corporations,2019M09,486.2,2019,9
Over 5 years,Foreign currency in total,- Revolving loans and overdrafts,General government,2019M09,0.0,2019,9
Over 5 years,Foreign currency in total,- Revolving loans and overdrafts,Households,2019M09,1210.6,2019,9
Over 5 years,Foreign currency in total,- Revolving loans and overdrafts,Non-profit institutions serving households,2019M09,0.0,2019,9
Over 5 years,Foreign currency in total,- Credit card credit,Non-financial corporations,2019M09,0.0,2019,9
Over 5 years,Foreign currency in total,- Credit card credit,Financial corporations,2019M09,0.0,2019,9
Over 5 years,Foreign currency in total,- Credit card credit,General government,2019M09,0.0,2019,9
Over 5 years,Foreign currency in total,- Credit card credit,Households,2019M09,0.0,2019,9
Over 5 years,Foreign currency in total,- Credit card credit,Non-profit institutions serving households,2019M09,0.0,2019,9
Over 5 years,Foreign currency in total,- Repo loans,Non-financial corporations,2019M09,0.0,2019,9
Over 5 years,Foreign currency in total,- Repo loans,Financial corporations,2019M09,0.0,2019,9
Over 5 years,Foreign currency in total,- Repo loans,General government,2019M09,0.0,2019,9
Over 5 years,Foreign currency in total,- Repo loans,Households,2019M09,0.0,2019,9
Over 5 years,Foreign currency in total,- Repo loans,Non-profit institutions serving households,2019M09,0.0,2019,9
Over 5 years,Foreign currency in total,- Other loans,Non-financial corporations,2019M09,11957.7,2019,9
Over 5 years,Foreign currency in total,- Other loans,Financial corporations,2019M09,1775.7,2019,9
Over 5 years,Foreign currency in total,- Other loans,General government,2019M09,0.0,2019,9
Over 5 years,Foreign currency in total,- Other loans,Households,2019M09,2453.2,2019,9
Over 5 years,Foreign currency in total,- Other loans,Non-profit institutions serving households,2019M09,0.0,2019,9
Up to and including 1 year,DKK,- Revolving loans and overdrafts,Non-financial corporations,2019M10,104861.2,2019,10
Up to and including 1 year,DKK,- Revolving loans and overdrafts,Financial corporations,2019M10,40339.4,2019,10
Up to and including 1 year,DKK,- Revolving loans and overdrafts,General government,2019M10,12810.2,2019,10
Up to and including 1 year,DKK,- Revolving loans and overdrafts,Households,2019M10,29250.0,2019,10
Up to and including 1 year,DKK,- Revolving loans and overdrafts,Non-profit institutions serving households,2019M10,841.6,2019,10
Up to and including 1 year,DKK,- Credit card credit,Non-financial corporations,2019M10,1302.9,2019,10
Up to and including 1 year,DKK,- Credit card credit,Financial corporations,2019M10,185.3,2019,10
Up to and including 1 year,DKK,- Credit card credit,General government,2019M10,93.4,2019,10
Up to and including 1 year,DKK,- Credit card credit,Households,2019M10,6979.2,2019,10
Up to and including 1 year,DKK,- Credit card credit,Non-profit institutions serving households,2019M10,78.4,2019,10
Up to and including 1 year,DKK,- Repo loans,Non-financial corporations,2019M10,3039.5,2019,10
Up to and including 1 year,DKK,- Repo loans,Financial corporations,2019M10,204635.4,2019,10
Up to and including 1 year,DKK,- Repo loans,General government,2019M10,6712.0,2019,10
Up to and including 1 year,DKK,- Repo loans,Households,2019M10,0.0,2019,10
Up to and including 1 year,DKK,- Repo loans,Non-profit institutions serving households,2019M10,0.0,2019,10
Up to and including 1 year,DKK,- Other loans,Non-financial corporations,2019M10,55114.5,2019,10
Up to and including 1 year,DKK,- Other loans,Financial corporations,2019M10,52538.6,2019,10
Up to and including 1 year,DKK,- Other loans,General government,2019M10,0.0,2019,10
Up to and including 1 year,DKK,- Other loans,Households,2019M10,15960.7,2019,10
Up to and including 1 year,DKK,- Other loans,Non-profit institutions serving households,2019M10,224.8,2019,10
Up to and including 1 year,Foreign currency in total,- Revolving loans and overdrafts,Non-financial corporations,2019M10,12382.2,2019,10
Up to and including 1 year,Foreign currency in total,- Revolving loans and overdrafts,Financial corporations,2019M10,4504.2,2019,10
Up to and including 1 year,Foreign currency in total,- Revolving loans and overdrafts,General government,2019M10,0.0,2019,10
Up to and including 1 year,Foreign currency in total,- Revolving loans and overdrafts,Households,2019M10,515.6,2019,10
Up to and including 1 year,Foreign currency in total,- Revolving loans and overdrafts,Non-profit institutions serving households,2019M10,0.0,2019,10
Up to and including 1 year,Foreign currency in total,- Credit card credit,Non-financial corporations,2019M10,0.0,2019,10
Up to and including 1 year,Foreign currency in total,- Credit card credit,Financial corporations,2019M10,0.0,2019,10
Up to and including 1 year,Foreign currency in total,- Credit card credit,General government,2019M10,0.0,2019,10
Up to and including 1 year,Foreign currency in total,- Credit card credit,Households,2019M10,0.0,2019,10
Up to and including 1 year,Foreign currency in total,- Credit card credit,Non-profit institutions serving households,2019M10,0.0,2019,10
Up to and including 1 year,Foreign currency in total,- Repo loans,Non-financial corporations,2019M10,0.0,2019,10
Up to and including 1 year,Foreign currency in total,- Repo loans,Financial corporations,2019M10,16432.2,2019,10
Up to and including 1 year,Foreign currency in total,- Repo loans,General government,2019M10,0.0,2019,10
Up to and including 1 year,Foreign currency in total,- Repo loans,Households,2019M10,0.0,2019,10
Up to and including 1 year,Foreign currency in total,- Repo loans,Non-profit institutions serving households,2019M10,0.0,2019,10
Up to and including 1 year,Foreign currency in total,- Other loans,Non-financial corporations,2019M10,32133.7,2019,10
Up to and including 1 year,Foreign currency in total,- Other loans,Financial corporations,2019M10,44280.0,2019,10
Up to and including 1 year,Foreign currency in total,- Other loans,General government,2019M10,0.0,2019,10
Up to and including 1 year,Foreign currency in total,- Other loans,Households,2019M10,790.2,2019,10
Up to and including 1 year,Foreign currency in total,- Other loans,Non-profit institutions serving households,2019M10,0.0,2019,10
Over 1 year and up to and including 2 years,DKK,- Revolving loans and overdrafts,Non-financial corporations,2019M10,10412.2,2019,10
Over 1 year and up to and including 2 years,DKK,- Revolving loans and overdrafts,Financial corporations,2019M10,1529.9,2019,10
Over 1 year and up to and including 2 years,DKK,- Revolving loans and overdrafts,General government,2019M10,0.0,2019,10
Over 1 year and up to and including 2 years,DKK,- Revolving loans and overdrafts,Households,2019M10,3874.0,2019,10
Over 1 year and up to and including 2 years,DKK,- Revolving loans and overdrafts,Non-profit institutions serving households,2019M10,191.5,2019,10
Over 1 year and up to and including 2 years,DKK,- Credit card credit,Non-financial corporations,2019M10,0.0,2019,10
Over 1 year and up to and including 2 years,DKK,- Credit card credit,Financial corporations,2019M10,0.0,2019,10
Over 1 year and up to and including 2 years,DKK,- Credit card credit,General government,2019M10,0.0,2019,10
Over 1 year and up to and including 2 years,DKK,- Credit card credit,Households,2019M10,0.0,2019,10
Over 1 year and up to and including 2 years,DKK,- Credit card credit,Non-profit institutions serving households,2019M10,0.0,2019,10
Over 1 year and up to and including 2 years,DKK,- Repo loans,Non-financial corporations,2019M10,0.0,2019,10
Over 1 year and up to and including 2 years,DKK,- Repo loans,Financial corporations,2019M10,0.0,2019,10
Over 1 year and up to and including 2 years,DKK,- Repo loans,General government,2019M10,0.0,2019,10
Over 1 year and up to and including 2 years,DKK,- Repo loans,Households,2019M10,0.0,2019,10
Over 1 year and up to and including 2 years,DKK,- Repo loans,Non-profit institutions serving households,2019M10,0.0,2019,10
Over 1 year and up to and including 2 years,DKK,- Other loans,Non-financial corporations,2019M10,4675.6,2019,10
Over 1 year and up to and including 2 years,DKK,- Other loans,Financial corporations,2019M10,2719.4,2019,10
Over 1 year and up to and including 2 years,DKK,- Other loans,General government,2019M10,10.0,2019,10
Over 1 year and up to and including 2 years,DKK,- Other loans,Households,2019M10,5790.5,2019,10
Over 1 year and up to and including 2 years,DKK,- Other loans,Non-profit institutions serving households,2019M10,14.4,2019,10
Over 1 year and up to and including 2 years,Foreign currency in total,- Revolving loans and overdrafts,Non-financial corporations,2019M10,122.2,2019,10
Over 1 year and up to and including 2 years,Foreign currency in total,- Revolving loans and overdrafts,Financial corporations,2019M10,0.0,2019,10
Over 1 year and up to and including 2 years,Foreign currency in total,- Revolving loans and overdrafts,General government,2019M10,0.0,2019,10
Over 1 year and up to and including 2 years,Foreign currency in total,- Revolving loans and overdrafts,Households,2019M10,6.8,2019,10
Over 1 year and up to and including 2 years,Foreign currency in total,- Revolving loans and overdrafts,Non-profit institutions serving households,2019M10,0.0,2019,10
Over 1 year and up to and including 2 years,Foreign currency in total,- Credit card credit,Non-financial corporations,2019M10,0.0,2019,10
Over 1 year and up to and including 2 years,Foreign currency in total,- Credit card credit,Financial corporations,2019M10,0.0,2019,10
Over 1 year and up to and including 2 years,Foreign currency in total,- Credit card credit,General government,2019M10,0.0,2019,10
Over 1 year and up to and including 2 years,Foreign currency in total,- Credit card credit,Households,2019M10,0.0,2019,10
Over 1 year and up to and including 2 years,Foreign currency in total,- Credit card credit,Non-profit institutions serving households,2019M10,0.0,2019,10
Over 1 year and up to and including 2 years,Foreign currency in total,- Repo loans,Non-financial corporations,2019M10,0.0,2019,10
Over 1 year and up to and including 2 years,Foreign currency in total,- Repo loans,Financial corporations,2019M10,0.0,2019,10
Over 1 year and up to and including 2 years,Foreign currency in total,- Repo loans,General government,2019M10,0.0,2019,10
Over 1 year and up to and including 2 years,Foreign currency in total,- Repo loans,Households,2019M10,0.0,2019,10
Over 1 year and up to and including 2 years,Foreign currency in total,- Repo loans,Non-profit institutions serving households,2019M10,0.0,2019,10
Over 1 year and up to and including 2 years,Foreign currency in total,- Other loans,Non-financial corporations,2019M10,727.1,2019,10
Over 1 year and up to and including 2 years,Foreign currency in total,- Other loans,Financial corporations,2019M10,738.9,2019,10
Over 1 year and up to and including 2 years,Foreign currency in total,- Other loans,General government,2019M10,0.0,2019,10
Over 1 year and up to and including 2 years,Foreign currency in total,- Other loans,Households,2019M10,518.3,2019,10
Over 1 year and up to and including 2 years,Foreign currency in total,- Other loans,Non-profit institutions serving households,2019M10,0.0,2019,10
Over 2 years and up to and including 5 years,DKK,- Revolving loans and overdrafts,Non-financial corporations,2019M10,23141.7,2019,10
Over 2 years and up to and including 5 years,DKK,- Revolving loans and overdrafts,Financial corporations,2019M10,2795.5,2019,10
Over 2 years and up to and including 5 years,DKK,- Revolving loans and overdrafts,General government,2019M10,1393.2,2019,10
Over 2 years and up to and including 5 years,DKK,- Revolving loans and overdrafts,Households,2019M10,9699.2,2019,10
Over 2 years and up to and including 5 years,DKK,- Revolving loans and overdrafts,Non-profit institutions serving households,2019M10,58.7,2019,10
Over 2 years and up to and including 5 years,DKK,- Credit card credit,Non-financial corporations,2019M10,0.0,2019,10
Over 2 years and up to and including 5 years,DKK,- Credit card credit,Financial corporations,2019M10,0.0,2019,10
Over 2 years and up to and including 5 years,DKK,- Credit card credit,General government,2019M10,0.0,2019,10
Over 2 years and up to and including 5 years,DKK,- Credit card credit,Households,2019M10,2.8,2019,10
Over 2 years and up to and including 5 years,DKK,- Credit card credit,Non-profit institutions serving households,2019M10,0.0,2019,10
Over 2 years and up to and including 5 years,DKK,- Repo loans,Non-financial corporations,2019M10,0.0,2019,10
Over 2 years and up to and including 5 years,DKK,- Repo loans,Financial corporations,2019M10,0.0,2019,10
Over 2 years and up to and including 5 years,DKK,- Repo loans,General government,2019M10,0.0,2019,10
Over 2 years and up to and including 5 years,DKK,- Repo loans,Households,2019M10,0.0,2019,10
Over 2 years and up to and including 5 years,DKK,- Repo loans,Non-profit institutions serving households,2019M10,0.0,2019,10
Over 2 years and up to and including 5 years,DKK,- Other loans,Non-financial corporations,2019M10,21983.4,2019,10
Over 2 years and up to and including 5 years,DKK,- Other loans,Financial corporations,2019M10,34977.0,2019,10
Over 2 years and up to and including 5 years,DKK,- Other loans,General government,2019M10,89.2,2019,10
Over 2 years and up to and including 5 years,DKK,- Other loans,Households,2019M10,21670.1,2019,10
Over 2 years and up to and including 5 years,DKK,- Other loans,Non-profit institutions serving households,2019M10,208.6,2019,10
Over 2 years and up to and including 5 years,Foreign currency in total,- Revolving loans and overdrafts,Non-financial corporations,2019M10,765.8,2019,10
Over 2 years and up to and including 5 years,Foreign currency in total,- Revolving loans and overdrafts,Financial corporations,2019M10,119.7,2019,10
Over 2 years and up to and including 5 years,Foreign currency in total,- Revolving loans and overdrafts,General government,2019M10,0.0,2019,10
Over 2 years and up to and including 5 years,Foreign currency in total,- Revolving loans and overdrafts,Households,2019M10,186.3,2019,10
Over 2 years and up to and including 5 years,Foreign currency in total,- Revolving loans and overdrafts,Non-profit institutions serving households,2019M10,0.0,2019,10
Over 2 years and up to and including 5 years,Foreign currency in total,- Credit card credit,Non-financial corporations,2019M10,0.0,2019,10
Over 2 years and up to and including 5 years,Foreign currency in total,- Credit card credit,Financial corporations,2019M10,0.0,2019,10
Over 2 years and up to and including 5 years,Foreign currency in total,- Credit card credit,General government,2019M10,0.0,2019,10
Over 2 years and up to and including 5 years,Foreign currency in total,- Credit card credit,Households,2019M10,0.0,2019,10
Over 2 years and up to and including 5 years,Foreign currency in total,- Credit card credit,Non-profit institutions serving households,2019M10,0.0,2019,10
Over 2 years and up to and including 5 years,Foreign currency in total,- Repo loans,Non-financial corporations,2019M10,0.0,2019,10
Over 2 years and up to and including 5 years,Foreign currency in total,- Repo loans,Financial corporations,2019M10,0.0,2019,10
Over 2 years and up to and including 5 years,Foreign currency in total,- Repo loans,General government,2019M10,0.0,2019,10
Over 2 years and up to and including 5 years,Foreign currency in total,- Repo loans,Households,2019M10,0.0,2019,10
Over 2 years and up to and including 5 years,Foreign currency in total,- Repo loans,Non-profit institutions serving households,2019M10,0.0,2019,10
Over 2 years and up to and including 5 years,Foreign currency in total,- Other loans,Non-financial corporations,2019M10,3224.1,2019,10
Over 2 years and up to and including 5 years,Foreign currency in total,- Other loans,Financial corporations,2019M10,1883.7,2019,10
Over 2 years and up to and including 5 years,Foreign currency in total,- Other loans,General government,2019M10,0.0,2019,10
Over 2 years and up to and including 5 years,Foreign currency in total,- Other loans,Households,2019M10,1074.9,2019,10
Over 2 years and up to and including 5 years,Foreign currency in total,- Other loans,Non-profit institutions serving households,2019M10,0.0,2019,10
Over 5 years,DKK,- Revolving loans and overdrafts,Non-financial corporations,2019M10,15336.0,2019,10
Over 5 years,DKK,- Revolving loans and overdrafts,Financial corporations,2019M10,8183.2,2019,10
Over 5 years,DKK,- Revolving loans and overdrafts,General government,2019M10,0.0,2019,10
Over 5 years,DKK,- Revolving loans and overdrafts,Households,2019M10,54639.3,2019,10
Over 5 years,DKK,- Revolving loans and overdrafts,Non-profit institutions serving households,2019M10,437.2,2019,10
Over 5 years,DKK,- Credit card credit,Non-financial corporations,2019M10,187.7,2019,10
Over 5 years,DKK,- Credit card credit,Financial corporations,2019M10,9.9,2019,10
Over 5 years,DKK,- Credit card credit,General government,2019M10,1.1,2019,10
Over 5 years,DKK,- Credit card credit,Households,2019M10,1788.3,2019,10
Over 5 years,DKK,- Credit card credit,Non-profit institutions serving households,2019M10,9.0,2019,10
Over 5 years,DKK,- Repo loans,Non-financial corporations,2019M10,0.0,2019,10
Over 5 years,DKK,- Repo loans,Financial corporations,2019M10,0.0,2019,10
Over 5 years,DKK,- Repo loans,General government,2019M10,0.0,2019,10
Over 5 years,DKK,- Repo loans,Households,2019M10,0.0,2019,10
Over 5 years,DKK,- Repo loans,Non-profit institutions serving households,2019M10,0.0,2019,10
Over 5 years,DKK,- Other loans,Non-financial corporations,2019M10,58248.6,2019,10
Over 5 years,DKK,- Other loans,Financial corporations,2019M10,14966.2,2019,10
Over 5 years,DKK,- Other loans,General government,2019M10,276.9,2019,10
Over 5 years,DKK,- Other loans,Households,2019M10,310439.3,2019,10
Over 5 years,DKK,- Other loans,Non-profit institutions serving households,2019M10,1141.1,2019,10
Over 5 years,Foreign currency in total,- Revolving loans and overdrafts,Non-financial corporations,2019M10,1295.7,2019,10
Over 5 years,Foreign currency in total,- Revolving loans and overdrafts,Financial corporations,2019M10,652.1,2019,10
Over 5 years,Foreign currency in total,- Revolving loans and overdrafts,General government,2019M10,0.0,2019,10
Over 5 years,Foreign currency in total,- Revolving loans and overdrafts,Households,2019M10,1136.8,2019,10
Over 5 years,Foreign currency in total,- Revolving loans and overdrafts,Non-profit institutions serving households,2019M10,0.0,2019,10
Over 5 years,Foreign currency in total,- Credit card credit,Non-financial corporations,2019M10,0.0,2019,10
Over 5 years,Foreign currency in total,- Credit card credit,Financial corporations,2019M10,0.0,2019,10
Over 5 years,Foreign currency in total,- Credit card credit,General government,2019M10,0.0,2019,10
Over 5 years,Foreign currency in total,- Credit card credit,Households,2019M10,0.0,2019,10
Over 5 years,Foreign currency in total,- Credit card credit,Non-profit institutions serving households,2019M10,0.0,2019,10
Over 5 years,Foreign currency in total,- Repo loans,Non-financial corporations,2019M10,0.0,2019,10
Over 5 years,Foreign currency in total,- Repo loans,Financial corporations,2019M10,0.0,2019,10
Over 5 years,Foreign currency in total,- Repo loans,General government,2019M10,0.0,2019,10
Over 5 years,Foreign currency in total,- Repo loans,Households,2019M10,0.0,2019,10
Over 5 years,Foreign currency in total,- Repo loans,Non-profit institutions serving households,2019M10,0.0,2019,10
Over 5 years,Foreign currency in total,- Other loans,Non-financial corporations,2019M10,11888.3,2019,10
Over 5 years,Foreign currency in total,- Other loans,Financial corporations,2019M10,1757.8,2019,10
Over 5 years,Foreign currency in total,- Other loans,General government,2019M10,0.0,2019,10
Over 5 years,Foreign currency in total,- Other loans,Households,2019M10,2417.0,2019,10
Over 5 years,Foreign currency in total,- Other loans,Non-profit institutions serving households,2019M10,0.0,2019,10
Up to and including 1 year,DKK,- Revolving loans and overdrafts,Non-financial corporations,2019M11,106328.4,2019,11
Up to and including 1 year,DKK,- Revolving loans and overdrafts,Financial corporations,2019M11,40482.6,2019,11
Up to and including 1 year,DKK,- Revolving loans and overdrafts,General government,2019M11,13296.7,2019,11
Up to and including 1 year,DKK,- Revolving loans and overdrafts,Households,2019M11,29091.7,2019,11
Up to and including 1 year,DKK,- Revolving loans and overdrafts,Non-profit institutions serving households,2019M11,833.5,2019,11
Up to and including 1 year,DKK,- Credit card credit,Non-financial corporations,2019M11,1203.4,2019,11
Up to and including 1 year,DKK,- Credit card credit,Financial corporations,2019M11,149.8,2019,11
Up to and including 1 year,DKK,- Credit card credit,General government,2019M11,98.5,2019,11
Up to and including 1 year,DKK,- Credit card credit,Households,2019M11,6906.7,2019,11
Up to and including 1 year,DKK,- Credit card credit,Non-profit institutions serving households,2019M11,84.4,2019,11
Up to and including 1 year,DKK,- Repo loans,Non-financial corporations,2019M11,4648.8,2019,11
Up to and including 1 year,DKK,- Repo loans,Financial corporations,2019M11,223439.4,2019,11
Up to and including 1 year,DKK,- Repo loans,General government,2019M11,7860.6,2019,11
Up to and including 1 year,DKK,- Repo loans,Households,2019M11,0.0,2019,11
Up to and including 1 year,DKK,- Repo loans,Non-profit institutions serving households,2019M11,0.0,2019,11
Up to and including 1 year,DKK,- Other loans,Non-financial corporations,2019M11,55259.2,2019,11
Up to and including 1 year,DKK,- Other loans,Financial corporations,2019M11,51135.3,2019,11
Up to and including 1 year,DKK,- Other loans,General government,2019M11,0.0,2019,11
Up to and including 1 year,DKK,- Other loans,Households,2019M11,15658.8,2019,11
Up to and including 1 year,DKK,- Other loans,Non-profit institutions serving households,2019M11,216.5,2019,11
Up to and including 1 year,Foreign currency in total,- Revolving loans and overdrafts,Non-financial corporations,2019M11,12321.2,2019,11
Up to and including 1 year,Foreign currency in total,- Revolving loans and overdrafts,Financial corporations,2019M11,4590.1,2019,11
Up to and including 1 year,Foreign currency in total,- Revolving loans and overdrafts,General government,2019M11,0.0,2019,11
Up to and including 1 year,Foreign currency in total,- Revolving loans and overdrafts,Households,2019M11,453.3,2019,11
Up to and including 1 year,Foreign currency in total,- Revolving loans and overdrafts,Non-profit institutions serving households,2019M11,0.0,2019,11
Up to and including 1 year,Foreign currency in total,- Credit card credit,Non-financial corporations,2019M11,0.0,2019,11
Up to and including 1 year,Foreign currency in total,- Credit card credit,Financial corporations,2019M11,0.0,2019,11
Up to and including 1 year,Foreign currency in total,- Credit card credit,General government,2019M11,0.0,2019,11
Up to and including 1 year,Foreign currency in total,- Credit card credit,Households,2019M11,0.0,2019,11
Up to and including 1 year,Foreign currency in total,- Credit card credit,Non-profit institutions serving households,2019M11,0.0,2019,11
Up to and including 1 year,Foreign currency in total,- Repo loans,Non-financial corporations,2019M11,0.0,2019,11
Up to and including 1 year,Foreign currency in total,- Repo loans,Financial corporations,2019M11,15731.3,2019,11
Up to and including 1 year,Foreign currency in total,- Repo loans,General government,2019M11,0.0,2019,11
Up to and including 1 year,Foreign currency in total,- Repo loans,Households,2019M11,0.0,2019,11
Up to and including 1 year,Foreign currency in total,- Repo loans,Non-profit institutions serving households,2019M11,0.0,2019,11
Up to and including 1 year,Foreign currency in total,- Other loans,Non-financial corporations,2019M11,30283.0,2019,11
Up to and including 1 year,Foreign currency in total,- Other loans,Financial corporations,2019M11,49827.2,2019,11
Up to and including 1 year,Foreign currency in total,- Other loans,General government,2019M11,0.0,2019,11
Up to and including 1 year,Foreign currency in total,- Other loans,Households,2019M11,735.4,2019,11
Up to and including 1 year,Foreign currency in total,- Other loans,Non-profit institutions serving households,2019M11,0.0,2019,11
Over 1 year and up to and including 2 years,DKK,- Revolving loans and overdrafts,Non-financial corporations,2019M11,10567.1,2019,11
Over 1 year and up to and including 2 years,DKK,- Revolving loans and overdrafts,Financial corporations,2019M11,1709.6,2019,11
Over 1 year and up to and including 2 years,DKK,- Revolving loans and overdrafts,General government,2019M11,0.0,2019,11
Over 1 year and up to and including 2 years,DKK,- Revolving loans and overdrafts,Households,2019M11,3926.2,2019,11
