Loan Maturity,Currency,Type of Loans,Sector,Year_Month,value,Year,Month
Over 1 year and up to and including 2 years,DKK,- Other loans,Households,2019M01,5757.8,2019,1
Over 1 year and up to and including 2 years,DKK,- Other loans,Non-profit institutions serving households,2019M01,45.8,2019,1
Over 1 year and up to and including 2 years,Foreign currency in total,- Revolving loans and overdrafts,Non-financial corporations,2019M01,97.7,2019,1
Over 1 year and up to and including 2 years,Foreign currency in total,- Revolving loans and overdrafts,Financial corporations,2019M01,27.6,2019,1
Over 1 year and up to and including 2 years,Foreign currency in total,- Revolving loans and overdrafts,General government,2019M01,0.0,2019,1
Over 1 year and up to and including 2 years,Foreign currency in total,- Revolving loans and overdrafts,Households,2019M01,0.0,2019,1
Over 1 year and up to and including 2 years,Foreign currency in total,- Revolving loans and overdrafts,Non-profit institutions serving households,2019M01,0.0,2019,1
Over 1 year and up to and including 2 years,Foreign currency in total,- Credit card credit,Non-financial corporations,2019M01,0.0,2019,1
Over 1 year and up to and including 2 years,Foreign currency in total,- Credit card credit,Financial corporations,2019M01,0.0,2019,1
Over 1 year and up to and including 2 years,Foreign currency in total,- Credit card credit,General government,2019M01,0.0,2019,1
Over 1 year and up to and including 2 years,Foreign currency in total,- Credit card credit,Households,2019M01,0.0,2019,1
Over 1 year and up to and including 2 years,Foreign currency in total,- Credit card credit,Non-profit institutions serving households,2019M01,0.0,2019,1
Over 1 year and up to and including 2 years,Foreign currency in total,- Repo loans,Non-financial corporations,2019M01,0.0,2019,1
Over 1 year and up to and including 2 years,Foreign currency in total,- Repo loans,Financial corporations,2019M01,0.0,2019,1
Over 1 year and up to and including 2 years,Foreign currency in total,- Repo loans,General government,2019M01,0.0,2019,1
Over 1 year and up to and including 2 years,Foreign currency in total,- Repo loans,Households,2019M01,0.0,2019,1
Over 1 year and up to and including 2 years,Foreign currency in total,- Repo loans,Non-profit institutions serving households,2019M01,0.0,2019,1
Over 1 year and up to and including 2 years,Foreign currency in total,- Other loans,Non-financial corporations,2019M01,772.1,2019,1
Over 1 year and up to and including 2 years,Foreign currency in total,- Other loans,Financial corporations,2019M01,492.8,2019,1
Over 1 year and up to and including 2 years,Foreign currency in total,- Other loans,General government,2019M01,0.0,2019,1
Over 1 year and up to and including 2 years,Foreign currency in total,- Other loans,Households,2019M01,522.5,2019,1
Over 1 year and up to and including 2 years,Foreign currency in total,- Other loans,Non-profit institutions serving households,2019M01,0.0,2019,1
Over 2 years and up to and including 5 years,DKK,- Revolving loans and overdrafts,Non-financial corporations,2019M01,17674.0,2019,1
Over 2 years and up to and including 5 years,DKK,- Revolving loans and overdrafts,Financial corporations,2019M01,1552.8,2019,1
Over 2 years and up to and including 5 years,DKK,- Revolving loans and overdrafts,General government,2019M01,1052.5,2019,1
Over 2 years and up to and including 5 years,DKK,- Revolving loans and overdrafts,Households,2019M01,9120.0,2019,1
Over 2 years and up to and including 5 years,DKK,- Revolving loans and overdrafts,Non-profit institutions serving households,2019M01,124.0,2019,1
Over 2 years and up to and including 5 years,DKK,- Credit card credit,Non-financial corporations,2019M01,0.0,2019,1
Over 2 years and up to and including 5 years,DKK,- Credit card credit,Financial corporations,2019M01,0.0,2019,1
Over 2 years and up to and including 5 years,DKK,- Credit card credit,General government,2019M01,0.0,2019,1
Over 2 years and up to and including 5 years,DKK,- Credit card credit,Households,2019M01,3.2,2019,1
Over 2 years and up to and including 5 years,DKK,- Credit card credit,Non-profit institutions serving households,2019M01,0.0,2019,1
Over 2 years and up to and including 5 years,DKK,- Repo loans,Non-financial corporations,2019M01,0.0,2019,1
Over 2 years and up to and including 5 years,DKK,- Repo loans,Financial corporations,2019M01,0.0,2019,1
Over 2 years and up to and including 5 years,DKK,- Repo loans,General government,2019M01,0.0,2019,1
Over 2 years and up to and including 5 years,DKK,- Repo loans,Households,2019M01,0.0,2019,1
Over 2 years and up to and including 5 years,DKK,- Repo loans,Non-profit institutions serving households,2019M01,0.0,2019,1
Over 2 years and up to and including 5 years,DKK,- Other loans,Non-financial corporations,2019M01,20908.0,2019,1
Over 2 years and up to and including 5 years,DKK,- Other loans,Financial corporations,2019M01,30803.9,2019,1
Over 2 years and up to and including 5 years,DKK,- Other loans,General government,2019M01,98.5,2019,1
Over 2 years and up to and including 5 years,DKK,- Other loans,Households,2019M01,21851.8,2019,1
Over 2 years and up to and including 5 years,DKK,- Other loans,Non-profit institutions serving households,2019M01,227.7,2019,1
Over 2 years and up to and including 5 years,Foreign currency in total,- Revolving loans and overdrafts,Non-financial corporations,2019M01,576.6,2019,1
Over 2 years and up to and including 5 years,Foreign currency in total,- Revolving loans and overdrafts,Financial corporations,2019M01,26.9,2019,1
Over 2 years and up to and including 5 years,Foreign currency in total,- Revolving loans and overdrafts,General government,2019M01,0.0,2019,1
Over 2 years and up to and including 5 years,Foreign currency in total,- Revolving loans and overdrafts,Households,2019M01,220.7,2019,1
Over 2 years and up to and including 5 years,Foreign currency in total,- Revolving loans and overdrafts,Non-profit institutions serving households,2019M01,0.0,2019,1
Over 2 years and up to and including 5 years,Foreign currency in total,- Credit card credit,Non-financial corporations,2019M01,0.0,2019,1
Over 2 years and up to and including 5 years,Foreign currency in total,- Credit card credit,Financial corporations,2019M01,0.0,2019,1
Over 2 years and up to and including 5 years,Foreign currency in total,- Credit card credit,General government,2019M01,0.0,2019,1
Over 2 years and up to and including 5 years,Foreign currency in total,- Credit card credit,Households,2019M01,0.0,2019,1
Over 2 years and up to and including 5 years,Foreign currency in total,- Credit card credit,Non-profit institutions serving households,2019M01,0.0,2019,1
Over 2 years and up to and including 5 years,Foreign currency in total,- Repo loans,Non-financial corporations,2019M01,0.0,2019,1
Over 2 years and up to and including 5 years,Foreign currency in total,- Repo loans,Financial corporations,2019M01,0.0,2019,1
Over 2 years and up to and including 5 years,Foreign currency in total,- Repo loans,General government,2019M01,0.0,2019,1
Over 2 years and up to and including 5 years,Foreign currency in total,- Repo loans,Households,2019M01,0.0,2019,1
Over 2 years and up to and including 5 years,Foreign currency in total,- Repo loans,Non-profit institutions serving households,2019M01,0.0,2019,1
Over 2 years and up to and including 5 years,Foreign currency in total,- Other loans,Non-financial corporations,2019M01,4372.0,2019,1
Over 2 years and up to and including 5 years,Foreign currency in total,- Other loans,Financial corporations,2019M01,1457.3,2019,1
Over 2 years and up to and including 5 years,Foreign currency in total,- Other loans,General government,2019M01,0.0,2019,1
Over 2 years and up to and including 5 years,Foreign currency in total,- Other loans,Households,2019M01,1154.4,2019,1
